"country_name,Customer,Energy_Classificatory,Year,Energy_Consumption"
"Greece,Energy,Biofuels,2005,0"
"Greece,Energy,Biofuels,2006,0"
"Greece,Energy,Biofuels,2007,0"
"Greece,Energy,Biofuels,2008,0"
"Greece,Energy,Biofuels,2009,0"
"Greece,Energy,Biofuels,2010,0"
"Greece,Energy,Biofuels,2011,0"
"Greece,Energy,Biofuels,2012,0"
"Greece,Energy,Biofuels,2013,0"
"Greece,Energy,Biofuels,2014,0"
"Greece,Energy,Biofuels,2015,0"
"Greece,Energy,Biofuels,2016,0"
"Greece,Energy,Biofuels,2017,0"
"Greece,Energy,Biofuels,2018,0"
"Greece,Energy,Biofuels,2019,0"
"Greece,Energy,Biofuels,2020,0"
"Greece,Energy,Biofuels,2021,0"
"Greece,Energy,Biofuels,2022,0"
"Greece,Energy,Biofuels,2023,0"
"Spain,Energy,Biofuels,2004,0"
"Spain,Energy,Biofuels,2005,0"
"Spain,Energy,Biofuels,2006,0"
"Spain,Energy,Biofuels,2007,0"
"Spain,Energy,Biofuels,2008,0"
"Spain,Energy,Biofuels,2009,0"
"Spain,Energy,Biofuels,2010,0"
"Spain,Energy,Biofuels,2011,0"
"Spain,Energy,Biofuels,2012,0"
"Spain,Energy,Biofuels,2013,0"
"Spain,Energy,Biofuels,2014,0"
"Spain,Energy,Biofuels,2015,0"
"Spain,Energy,Biofuels,2016,0"
"Spain,Energy,Biofuels,2017,0"
"Spain,Energy,Biofuels,2018,0"
"Spain,Energy,Biofuels,2019,0"
"Spain,Energy,Biofuels,2020,0"
"Spain,Energy,Biofuels,2021,0"
"Spain,Energy,Biofuels,2022,0"
"Spain,Energy,Biofuels,2023,0"
"France,Energy,Biofuels,2004,NA"
"France,Energy,Biofuels,2005,NA"
"France,Energy,Biofuels,2006,NA"
"France,Energy,Biofuels,2007,NA"
"France,Energy,Biofuels,2008,NA"
"France,Energy,Biofuels,2009,NA"
"France,Energy,Biofuels,2010,NA"
"France,Energy,Biofuels,2011,0"
"France,Energy,Biofuels,2012,0"
"France,Energy,Biofuels,2013,0"
"France,Energy,Biofuels,2014,0"
"France,Energy,Biofuels,2015,0"
"France,Energy,Biofuels,2016,0"
"France,Energy,Biofuels,2017,0"
"France,Energy,Biofuels,2018,0"
"France,Energy,Biofuels,2019,0"
"France,Energy,Biofuels,2020,0"
"France,Energy,Biofuels,2021,0"
"France,Energy,Biofuels,2022,0"
"France,Energy,Biofuels,2023,0"
"Croatia,Energy,Biofuels,2004,NA"
"Croatia,Energy,Biofuels,2005,NA"
"Croatia,Energy,Biofuels,2006,NA"
"Croatia,Energy,Biofuels,2007,NA"
"Croatia,Energy,Biofuels,2008,NA"
"Croatia,Energy,Biofuels,2009,NA"
"Croatia,Energy,Biofuels,2010,NA"
"Croatia,Energy,Biofuels,2011,NA"
"Croatia,Energy,Biofuels,2012,NA"
"Croatia,Energy,Biofuels,2013,NA"
"Croatia,Energy,Biofuels,2014,NA"
"Croatia,Energy,Biofuels,2015,NA"
"Croatia,Energy,Biofuels,2016,NA"
"Croatia,Energy,Biofuels,2017,NA"
"Croatia,Energy,Biofuels,2018,NA"
"Croatia,Energy,Biofuels,2019,NA"
"Croatia,Energy,Biofuels,2020,NA"
"Croatia,Energy,Biofuels,2021,NA"
"Croatia,Energy,Biofuels,2022,0"
"Croatia,Energy,Biofuels,2023,0"
"Italy,Energy,Biofuels,2004,NA"
"Italy,Energy,Biofuels,2005,NA"
"Italy,Energy,Biofuels,2006,NA"
"Italy,Energy,Biofuels,2007,NA"
"Italy,Energy,Biofuels,2008,NA"
"Italy,Energy,Biofuels,2009,NA"
"Italy,Energy,Biofuels,2010,NA"
